Human Trafficking Countries,Country Code,Risk Level
Belarus,BEL,50
Bélarus,BEL,50
Belarús,BEL,50
Belize,BLZ,60
Belice,BLZ,60
Burundi,BDI,50
Central African Republic,CAF,50
"Centrafricaine, République",CAF,50
República Centroafricana,CAF,50
China,CHN,50
Chine,CHN,50
"Congo, the Democratic Republic of the",COD,70
République Démocratique du Congo,COD,70
"Congo, la República Democrática del",COD,70
"Congo, Republic of the",COG,50
République du Congo,COG,50
"Congo, República del",COG,50
Equatorial Guinea,GNQ,50
Guinée équatoriale,GNQ,50
Guinea Ecuatorial,GNQ,50
Eritrea,ERI,70
Erythrée,ERI,70
Eritrea,ERI,70
"Iran, Islamic Republic of",IRN,50
Iran,IRN,50
Irán,IRN,50
Mali,MLI,60
Mali,MLI,60
Malí,MLI,60
Mauritania,MRT,50
Mauritanie,MRT,50
Mauritania,MRT,50
Russia,RUS,50
"Russie, Fédération de",RUS,50
Rusia,RUS,50
South Sudan,SSD,60
Sud-Soudan,SSD,60
Sudán del Sur,SSD,60
Sudan,SDN,50
Soudan,SDN,50
Sudán,SDN,50
Syria,SYR,80
"Syrienne, république arabe",SYR,80
Siria,SYR,80
