ID,Name,Type,Country,Title,Call Sign,Vessel Type,Tonnage,Gross Registered Tonnage,Vessel Flag,Vessel Owner,Aliases
15431,EP-GOM,aircraft,SDGT,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 8401; Aircraft Manufacture Date 1992; Aircraft Model IL76-TD; Aircraft Operator YAS AIR; Aircraft Manufacturer's Serial Number (MSN) 1023409321; Linked To: POUYA AIR.
15432,EP-GOL,aircraft,SDGT,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 8305; Aircraft Manufacture Date 1991; Aircraft Model IL-76TD; Aircraft Operator YAS AIR; Aircraft Manufacturer's Serial Number (MSN) 1013409297; Linked To: POUYA AIR.
15433,EP-GOQ,aircraft,SDGT,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 2006; Aircraft Manufacture Date 1998; Aircraft Model An-74T-200; Aircraft Operator YAS AIR; Aircraft Manufacturer's Serial Number (MSN) 365470991032; Linked To: POUYA AIR.
15434,EP-GOY,aircraft,SDGT,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 2105; Aircraft Manufacture Date 2002; Aircraft Model An-74TK-200; Aircraft Operator YAS AIR; Aircraft Manufacturer's Serial Number (MSN) 3654701211058; Linked To: POUYA AIR.
15435,EP-GOX,aircraft,SDGT,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 2101; Aircraft Manufacture Date 1998; Aircraft Model An-74T-200; Aircraft Operator YAS AIR; Aircraft Manufacturer's Serial Number (MSN) 3654701211048; Linked To: POUYA AIR.
15436,EX-35011,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 838; Aircraft Manufacture Date 28 Aug 2002; Aircraft Model A300B4-622R; Aircraft Operator MAHAN AIR; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15437,EX-301,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 524; Aircraft Manufacture Date 27 Sep 1989; Aircraft Model A310-304; Aircraft Operator MAHAN AIR; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15438,EP-MNG,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 401; Aircraft Manufacture Date 02 Feb 1987; Aircraft Model A300B4-603; Aircraft Operator MAHAN AIR; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15439,EP-MNH,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 405; Aircraft Manufacture Date 03 Feb 1987; Aircraft Model A300B4-603; Aircraft Operator MAHAN AIR; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15440,EP-MNI,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 408; Aircraft Manufacture Date 23 Feb 1987; Aircraft Model A300B4-603; Aircraft Operator MAHAN AIR; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
