ID,Name,Type,Country,Title,Call Sign,Vessel Type,Tonnage,Gross Registered Tonnage,Vessel Flag,Vessel Owner,Aliases
4234,HERMANN,vessel,CUBA,-0- ,CL2685,General Cargo,2597,1098,Cuba,Compania Navegacion Golfo S.A.,-0- 
4238,MAR AZUL,vessel,CUBA,-0- ,CL2192,Tug,-0- ,212,Cuba,Samir de Navegacion S.A.,-0- 
4243,SAND SWAN,vessel,CUBA,-0- ,P3QG3,General Cargo,2595,1116,Cyprus,Sand & Swan Navigation Co. Ltd.,f.k.a. 'ANA I'.
4249,TIFON,vessel,CUBA,-0- ,CL2059,Tug,-0- ,164,Cuba,Samir de Navegacion S.A.,-0- 
15036,ARTAVIL,vessel,IRAN,-0- ,T2EU4,Crude/Oil Products Tanker,"99,144","56,068",Iran,-0- ,Former Vessel Flag Malta; alt. Former Vessel Flag Tuvalu; alt. Former Vessel Flag None Identified; alt. Former Vessel Flag Tanzania; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9187629; MMSI 572469210; f.k.a. 'ALPHA'; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15037,ARK,vessel,IRAN,-0- ,9HDQ9,Crude/Oil Products Tanker,"99,030","56,068",Panama,-0- ,Former Vessel Flag Malta; alt. Former Vessel Flag Tanzania; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9187655; MMSI 256842000; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15038,ARGO I,vessel,IRAN,-0- ,T2EM4,Crude/Oil Products Tanker,"99,094","56,068",Panama,-0- ,Former Vessel Flag Malta; alt. Former Vessel Flag Tuvalu; alt. Former Vessel Flag Tanzania; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9187667; MMSI 256843000; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15039,ARNICA,vessel,IRAN,-0- ,T2ES4,Crude/Oil Products Tanker,"99,144","56,068",Iran,-0- ,Former Vessel Flag Malta; alt. Former Vessel Flag Tuvalu; alt. Former Vessel Flag Tanzania; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9187643; MMSI 572467210; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15040,APAMA,vessel,IRAN,-0- ,9HDS9,Crude/Oil Products Tanker,"99,087","56,068",Iran,-0- ,Former Vessel Flag Tuvalu; alt. Former Vessel Flag Malta; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9187631; MMSI 256845000; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15041,BANEH,vessel,IRAN,-0- ,EQKF,Landing Craft,640,478,Iran,-0- ,Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 8508462; MMSI 422141000; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15042,DIAMOND II,vessel,IRAN,-0- ,9HEG9,Crude Oil Tanker,"297,013","160,576",Panama,-0- ,Former Vessel Flag Malta; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9218478; MMSI 256865000; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15043,DREAM II,vessel,IRAN,-0- ,5IM 592,Crude Oil Tanker,"319,988","164,241",Panama,-0- ,Former Vessel Flag Cyprus; alt. Former Vessel Flag Tanzania; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9356593; MMSI 677049200; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15044,DEEP SEA,vessel,IRAN,-0- ,9HEE9,Crude Oil Tanker,"296,803","160,576",Panama,-0- ,Former Vessel Flag Malta; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9218492; MMSI 256862000; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15045,DORE,vessel,IRAN,-0- ,5IM 593,Crude Oil Tanker,"317,850","164,241",Panama,-0- ,Former Vessel Flag Cyprus; alt. Former Vessel Flag Tanzania; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9357717; MMSI 677049300; Linked To: NATIONAL IRANIAN TANKER COMPANY.
