DATAID,VERSION_NUM,ENTITY_NAME,REFERENCE_NUM,ADDRESS_CITY,ADDRESS_COUNTRY
6908629,1," PROPAGANDA AND AGITATION DEPARTMENT (PAD)","KPe.053 ",Pyongyang,Democratic People's Republic of Korea
110403,1,7TH OF TIR,IRe.001,,
6908409,1,ABDALLAH AZZAM BRIGADES (AAB),QDe.144,,
113445,1,ABU SAYYAF GROUP,QDe.001,,Philippines
110402,1,ABZAR BORESH KAVEH CO. (BK CO.),IRe.002,,
6908510,1,ACADEMY OF NATIONAL DEFENSE SCIENCE,KPe.021,Pyongyang,Democratic People's Republic of Korea
6908402,1,ADF,CDe.001,,Democratic Republic of the Congo
113226,1,AFGHAN SUPPORT COMMITTEE (ASC),QDe.069," Peshawar",Pakistan
113231,1,AL FURQAN,QDe.107,71 000 Sarajevo,Bosnia and Herzegovina
6908426,1,AL MOUAKAOUNE BIDDAM,QDe.139,,Mali
6908427,1,AL MOULATHAMOUN,QDe.140,,Mali
6908428,1,AL MOURABITOUN,QDe.141,,Mali
113459,1,AL RASHID TRUST,QDe.005,Karachi,Pakistan
6908332,1,AL WASEL AND BABEL GENERAL TRADING LLC,IQe.197,Dubai,United Arab Emirates
113227,1,AL-AKHTAR TRUST INTERNATIONAL,QDe.121,Karachi,Pakistan
6908339,1,"AL-BASHAIR TRADING COMPANY, LTD",IQe.204,Bagdad,Iraq
113232,1,AL-HARAMAIN & AL MASJED AL-AQSA CHARITY FOUNDATION,QDe.109,Sarajevo,Bosnia and Herzegovina
113455,1,AL-HARAMAIN FOUNDATION (PAKISTAN),QDe.104,"House #279, Nazimuddin Road, F-10/1, Islamabad",Pakistan
113234,1,AL-HARAMAIN FOUNDATION (UNION OF THE COMOROS),QDe.116,B/P: 1652 Moroni,Union of the Comoros
113453,1,AL-HARAMAIN: AFGHANISTAN BRANCH,QDe.110,,Afghanistan
113335,1,AL-HARAMAIN: ALBANIA BRANCH,QDe.111,Tirana,Albania
113454,1,AL-HARAMAIN: BANGLADESH BRANCH,QDe.112,"Uttara, Dhaka",Bangladesh
113233,1,AL-HARAMAIN: ETHIOPIA BRANCH,QDe.113,Woreda District 24 Kebele Section 13,Ethiopia
113235,1,AL-HARAMAIN: THE NETHERLANDS BRANCH,QDe.114,Amsterdam,The Netherlands
113338,1,AL-HARAMAYN FOUNDATION (KENYA),QDe.105,Nairobi,Kenya
113339,1,AL-HARAMAYN FOUNDATION (TANZANIA),QDe.106,Dar es Salaam,Tanzania
113457,1,AL-ITIHAAD AL-ISLAMIYA / AIAI,QDe.002,,
6908660,1,AL-KAWTHAR MONEY EXCHANGE,QDe.157,Al-Qaim,Iraq
6908429,1,AL-NUSRAH FRONT FOR THE PEOPLE OF THE LEVANT,QDe.137,,Syrian Arab Republic
113458,1,AL-QAIDA,QDe.004,,
113966,1,AL-QAIDA IN IRAQ,QDe.115,,
2881836,1,AL-QAIDA IN THE ARABIAN PENINSULA (AQAP),QDe.129,,
6908033,1,AL-SHABAAB,SOe.001,,
6908341,1,ALFA COMPANY LIMITED FOR INTERNATIONAL TRADING AND MARKETING,IQe.206,"Amman ",Jordan
110401,1,AMIN INDUSTRIAL COMPLEX,IRe.003,Mashad,Iran (Islamic Republic of)
110400,1,AMMUNITION AND METALLURGY INDUSTRIES GROUP (AMIG),IRe.004,,
690760,1,AMROGGANG DEVELOPMENT BANKING CORPORATION,KPe.009,Pyongyang,Democratic People's Republic of Korea
6908438,1,ANSAR AL CHARIA BENGHAZI,QDe.146,,
6908437,1,ANSAR AL CHARIA DERNA,QDe.145,,
113460,1,ANSAR AL-ISLAM,QDe.098,,
6908410,1,ANSAR AL-SHARI’A IN TUNISIA (AAS-T),QDe.143,,Tunisia
3014161,1,ANSAR EDDINE,QDe.135,,Mali
6908430,1,ANSARUL MUSLIMINA FI BILADIS SUDAN,QDe.142,,Nigeria
110399,1,ARMAMENT INDUSTRIES GROUP (AIG),IRe.005,,Iran (Islamic Republic of)
113237,1,ARMED ISLAMIC GROUP,QDe.006,,Algeria
113461,1,ASBAT AL-ANSAR,QDe.007,Ein el-Hilweh camp,Lebanon
6908334,1,AVIATRANS ANSTALT,IQe.199,Ruggell,Liechtenstein
6908338,1,Al-ARABI TRADING COMPANY,IQe.203,Bagdad,Iraq
690764,1,BANK OF EAST LAND,KPe.013,Pyongyang,Democratic People's Republic of Korea
110396,1,BARZAGANI TEJARAT TAVANMAD SACCAL COMPANIES,IRe.008,,
110395,1,BEHINEH TRADING CO.,IRe.009,Tehran,Iran (Islamic Republic of)
113474,1,BENEVOLENCE INTERNATIONAL FOUNDATION,QDe.093,Oak Lawn,United States of America
6908024,1,BUTEMBO AIRLINES (BAL),CDe.002,Butembo,Democratic Republic of the Congo
